Which London station was named after a long-reigning Queen?,Geography,,Victoria
In which county are the seaside resorts of Clacton and Southend,Geography,,Essex
Leeds Castle is in Kent. Where is Leeds?,Geography,,Yorkshire
Which seaside resort is famous for its Tower and its Golden Mile?,Geography,,Blackpool
What might you see at Regent's Park  Chester and Whipsnade?,Geography,,Zoo
What is the name of the famous cathedral in York?,Geography,,The Minster
Which is the largest island in England?,Geography,,Isle of Wight
What did Sunderland become in 1992 which Manchester Liverpool and Birmingham becane in the 19th century?,Geography,,A city
Which river runs through London,Geography,,Thames
Which is further North  Southport or Northampton,Geography,,Southport
Which stretch of water divides England and France?,Geography,,English Channel
What do the letters NEC stand for?,Geography,,National Exhibition Centre
What is the area around Stoke-On-Trent known as?,Geography,,The Potteries
Which northern city is served by Ringway airport?,Geography,,Manchester
Which motorway starts south of Birmingham and goes northwest towards Scotland?,Geography,,M6
Which part of the country would a Geordie come from?,Geography,,Northeast
Near which large city would you find the Wirral?,Geography,,Liverpool
Which two cities are the home of England's two oldest universities?,Geography,,Oxford. Cambridge
Which range of nothern hills is called the backbone of England?,Geography,,Pennines
Which moorland area of southwest Devon is the site of a high-security prison?,Geography,,Dartmoor
What were Dagenham  Luton and Cowley famous for producing?,Geography,,Cars
Where would a Manx person come from?,Geography,,Isle of Man
Which famous stones can be seen on Salisbury Plain?,Geography,,Stonehenge
Whose birthplace might you be visiting in Stratford-on-Avon?,Geography,,Shakespeare's
In which county is the English terminal of the Channel Tunnel?,Geography,,Kent
How many square miles is the City of London?,Geography,,One
Which was England's smallest county before the 1974 changes?,Geography,,Rutland
Is Holy Island off the east or west coast of England?,Geography,,East
What is a native of Aberdeen called?,Geography,,Aberdonian
Is London's Docklands  north  south  east or west of the city?,Geography,,East
The Angel of the North was erected next to which major road?,Geography,,A1
Which English gorge takes its name from a nearby village famous for its cheese?,Geography,,Cheddar
Which county has the abbreviation Beds?,Geography,,Bedfordshire
St Anne's lies to the south of which British seaside resort?,Geography,,Blackpool
Which Royal residence stands by the river Dee?,Geography,,Balmoral
In which country is the UK's highest mountain?,Geography,,Scotland
What sort of an institution in London is Bart's?,Geography,,Hospital
On a London Tube map the Central line is what colour?,Geography,,Red
In which Scottish city did you find the Gorbals?,Geography,,Glasgow
Which motorway links London to Winchester?,Geography,,M3
Which Isle off the south coast of England is a county in its own right?,Geography,,Isle of Wight
What is Britain's most southerly country?,Geography,,England
Norwich is the administrative centre of which county?,Geography,,Norfolk
In which city did the National Trust buy the childhood home of Paul McCartney?,Geography,,Liverpool
Which motorway runs almost parallel to the A4?,Geography,,M4
With which profession is London's Harley Street associated?,Geography,,Medical profession
What is Britain's largest international airport?,Geography,,Heathrow
In which county is Land's End?,Geography,,Cornwall
What colour are most London buses?,Geography,,Red
Which motorway goes from Lancashire to Yorkshire east to west?,Geography,,M62
What is the background colour of road signs to tourist sites?,Geography,,Brown
"In which part of the UK is ""Land of My Fathers"" a traditional song?",Geography,,Wales
Winchester is the administrative seat of which county?,Geography,,Hampshire
Aston University is near which Midlands city?,Geography,,Birmingham
Most of the Lake District is in which county?,Geography,,Cumbria
What red flower does Lancs have?,Geography,,Rose
In which city is the Barbican Centre?,Geography,,London
The Bay of Biscay lies to the north of which country?,Geography,,Spain
Which Gulf lies between Iran and Saudi Arabia?,Geography,,Persian Gulf
Brittany os part of which country?,Geography,,France
Which US city is known by its initials LA?,Geography,,Los Angeles
Which South American country shares its name with a nut?,Geography,,Brazil
Which is Britain's most southerly point on the mainland?,Geography,,Lizard
In which country is Shanghai?,Geography,,China
In which county is Lake Windermere?,Geography,,Cumbria
To which country does the island of Bermuda belong?,Geography,,Britain
What is the northernmost town in England?,Geography,,Berwick-upon-Tweed
Is San Francisco on the east or west coast of the USA,Geography,,West
Which Union was Ukraine once part of,Geography,,Soviet
In which country is Zurich,Geography,,Switzerland
In which country is the holiday destination of Bali,Geography,,Indonesia
Which island lies to the south of India,Geography,,Sri Lanka
In which country would you hear the language Afrikaans,Geography,,South Africa
Which group of islands does Gran Canaria belong to,Geography,,Canary Islands
Where would you be if you had climbed Mount Olympus,Geography,,Greece
In which US state is Orlando,Geography,,Florida
Which Ocean is to the west of Portugal,Geography,,Atlantic
In which country is The Hague,Geography,,Holland
Monte Carlo is in which principality,Geography,,Monaco
Which US state has the Arctic Circle running through it,Geography,,Alaska
Which Land in Denmark is made up of bricks,Geography,,Legoland
Which falls are on the Canadian/US border,Geography,,Niagara
Which country's women might wear a kimono,Geography,,Japan
Which Ocean's name means peaceful,Geography,,Pacific
Which country originally produced Peugeot cars,Geography,,France
What is the English for what the French call an autoroute,Geography,,Motorway
Which country did Britain fight in the War of Jenkins's Ear?,History,,Spain
What was the better known name of Charles I  the King of the Franks  who united most of Western Europe during the Middle Ages?,History,,Charlemagne
What was the largest naval battle of the First World War?,History,,Jutland
In which year was Abraham Lincoln assassinated?,History,,1865
Omdurman  as in the Battle of Omdurman  is today a suburb of which African city?,History,,Khartoum
In which military campaign did Lewis Halliday and Basil Guy win Victoria Crosses in 1900?,History,,The Boxer Rebellion
Who led a band of abolitionists that seized the federal arsenal at Harpers Ferry  Virginia  in October 1859?,History,,John Brown
Name the second wife of Henry VIII?,History,,Anne Boleyn
In which century did Italian friar Thomas Aquinas live?,History,,Thirteenth
Which English philosopher  regarded as one of the most influential of Enlightenment thinkers  was known as the Father of Classical Liberalism?,History,,John Locke
In which decade did compulsory driving testing begin?,History,,1930s (1935)
Which German city endured the worst bombing of World War Two in February 1945?,History,,Dresden
Robert Curthose was the son of which king?,History,,William the Conqueror
Who was king before Queen Victoria?,History,,William IV
Which Empire declared war on Russia in October 1853  suffering a defeat that gave Russia control of the Black Sea?,History,,The Ottoman Empire
Which Roman road stretched 220 miles from Exeter to Lincoln?,History,,Fosse Way
Which king met with the rebels of the Peasant's Revolt at Smithfield in 1381?,History,,Richard II
What was discovered in 1799 by Pierre-François Bouchard  a Napoleonic soldier?,History,,The Rosetta Stone
Which castle in Gloucestershire is believed to be the scene of the murder of King Edward II in 1327?,History,,Berkeley castle
Who was the last British monarch of the House of Hanover?,History,,Queen Victoria
Which Portuguese-born navigator was the first European to cross the Pacific Ocean?,History,,Ferdinand Magellan
Which historical figure is widely regarded as the greatest of all the Anglo-Saxon scholars?,History,,The Venerable Bede
What disease killed thousands of people in Glasgow in 1832?,History,,Cholera
Which killer was also known as 'The Whitechapel Murderer'?,History,,Jack the Ripper
In which year was the Wall Street Crash?,History,,1929
The Battle of Balaclava is a famous battle in which war?,History,,The Crimean
In which French city was Joan of Arc put to death?,History,,Rouen
Who was the last British monarch of the House of Hanover?,History,,Queen Victoria
In which century was The Black Death?,History,,Fourteenth
Which American outlaw was the most famous member of the James-Younger Gang?,History,,Jesse James
1. Who wrote the book The Strange Case of Dr Jekyll and Mr Hyde?,Literature,,1. Robert Louis Stevenson
2. In which book do the catchphrases 'messing about in boats' and 'poop  poop' feature?,Literature,,2. Wind in the Willows
3. Which short adventure novel is about a sled dog named Buck?,Literature,,3. Call of the Wild
4. Who wrote the science fiction novel Brave New World?,Literature,,4. Aldous Huxley
5. What do the two initials stand for in C. S. Lewis?,Literature,,5. Clive Staples
6. Which Latin phrase meaning 'great work'  refers to the largest and best achievement of an author?,Literature,,6. Magnum Opus
7. The General Theory of Employment  Interest and Money was written by which English economist?,Literature,,7. John Maynard Keynes
8. The title of which D. H. Lawrence book is also a meteorological phenomenon?,Literature,,8. The Rainbow
9. Name the beautiful young man who becomes the subject of a portrait by society painter  Basil Hallward?,Literature,,9. Dorian Gray (in the novel  The Picture of Dorian Gray)
10. Which book has had many film and television adaptations including a 1935 version starring Robert Donat  a 1978 version with Robert Powell  and a 2008 British television version  starring Rupert Penry-Jones?,Literature,,10. The Thirty-Nine Steps
1. Who wrote the children's book Charlotte's Web?,Literature,,1. E. B. White
2. Jeffrey Archer was made a life peer in 1992 as Baron Archer of which English seaside town?,Literature,,2. Weston-super-Mare
3. Who was the rector of Eversley  Hampshire  from 1847 to 1875?,Literature,,3. Charles Kingsley
4. Which Irish born novelist  playwright  and poet  lived in Paris for most of his adult life and wrote in both French and English?,Literature,,4. Samuel Beckett
5. Born in 1775  which English writer and essayist is best known for his Essays of Elia?,Literature,,5. Charles Lamb
6. Which novel folllows U.S. Army Airforce Captain John Yossarian?,Literature,,6. Catch-22
7. In which book does Gabriel Oak  a young shepherd  fall in love with Bathsheba Everdene?,Literature,,7. Far from the Madding Crowd
8. Which comedian wrote The Flanimals children's book series?,Literature,,8. Ricky Gervais
9. Which politician in 2014 wrote the first book in a trilogy of novels about her childhood and life in 1950s Liverpool?,Literature,,9. Nadine Dorries
10. Which of the Bronte sisters is the youngest?,Literature,,10. Anne
1. In the novel Carrie by Stephen King  what is Carrie's last name?,Literature,,1. White
2. 'Old Possum' was Ezra Pound's nickname for which writer?,Literature,,2. T. S. Eliot
3. Whose real name was Samuel Langhorne Clemens?,Literature,,3. Mark Twain
4. Whose second novel  Midnight's Children  won the Booker Prize in 1981?,Literature,,4. Salman Rushdie
5. What was the street address of Sherlock Holmes?,Literature,,5. 221B Baker Street
6. Which fictional character is the narrator of the book Moby-Dick?,Literature,,6. Ishmael
7. Who declined the 1964 Nobel Prize in Literature?,Literature,,7. Jean-Paul Sartre
8. Which author died on 29 September 1902 of carbon monoxide poisoning caused by an improperly ventilated chimney?,Literature,,8. Emile Zola
9. In which country was British author Doris Lessing born?,Literature,,9. Iran (then called Persia)
10. Anne Elliot is the heroine of which Jane Austen novel?,Literature,,10. Persuasion
1. Which novel is the story of the gentle knight and his servant Sancho Panza?,Literature,,1. Don Quixote
2. In literature which 1719 book has gained wide acceptance as 'the first English novel'?,Literature,,2. Robinson Crusoe
3. What was Rudyard Kipling's given first name?,Literature,,3. Joseph
4. 'It was a bright cold day in April  and the clocks were striking thirteen' is the first line from which book?,Literature,,4. 1984
5. Which novellist wrote 'Cannery Row' and 'East of Eden'?,Literature,,5. John Steinbeck
6. Which Washington D.C. born oscar-winning actress wrote 'A Lotus Grows in the Mud'?,Literature,,6. Goldie Hawn
7. Which famous past British political figure wrote Sybil?,Literature,,7. Bemjamin Disraeli
8. Which lead character was the budding author in the The Waltons?,Literature,,8. John-Boy
9. In which month of the year is Burns night celebrated?,Literature,,9. January (the 25th)
10. Which Victorian author wrote the plays 'Frozen Deep' and 'No Gobblins'?,Literature,,10. Charles Dickens
1. In which American city would you find the headquarters of General Motors?,Misc,,1. Detroit
2. The Maiwand Lion is a sculpture and war memorial in the Forbury Gardens  a public park in which English town?,Misc,,2. Reading
3. Who became the Labour MP for Hampstead and Highgate in 1992?,Misc,,3. Glenda Jackson
4. Which newspaper  once the biggest selling English language newspaper in the world  ceased publication in 2011?,Misc,,4. The News of the World
5. In which war was the Gatling gun first used?,Misc,,5. The American Civil (by the Union)
6. Which country has a flag that is not rectangular?,Misc,,6. Nepal
7. Which desert covers much of Botswana and parts of Namibia?,Misc,,7. The Kalahari
8. Which rock band wrote and performed the theme for the long-running adult cartoon South Park?,Misc,,8. Primus
9. Which viaduct carrying the M6 motorway in Birmingham is a quarter mile longer than the Second Severn Crossing?,Misc,,9. Bromford Viaduct
10. Who was the 40th President of the United States?,Misc,,10. Ronald Reagan
1. Where does an arboreal creature typically live?,Misc,,1. In trees
2. In heraldry  what colour is vert?,Misc,,2. Green
3. Who asks the quiz questions in ITV's 'The Chase'?,Misc,,3. Bradley Walsh
4. Considered one of the founders of analytic philosophy  who won the 1950 Nobel Prize in Literature?,Misc,,4. Bertrand Russell
5. Who have their headquarters at One Brewer's Green  London?,Misc,,5. The Labour Party
6. What is the most widely recognized national symbol of Canada?,Misc,,6. The Maple Leaf
7. Which unit of the Roman army consisted of 480 men?,Misc,,7. Cohort
8. The mainland portion of which country is formed by Jutland?,Misc,,8. Denmark
9. Name the oldest equestrian weekly magazine in the UK?,Misc,,9. Horse and Hound
10. In 1997  who announced he was leaving the BBC to stand as an independent candidate in the Tatton constituency in Cheshire?,Misc,,10. Martin Bell
1. In which city did Roger Bannister run the first sub-four-minute mile in 1954?,Misc,,1. Oxford
2. Which large animal kills more people than any other animal in Africa?,Misc,,2. Hippopotamus
3. Which country do swallows migrate to when they leave Britain for the winter?,Misc,,3. South Africa
4. Which country has the second largest land mass in the world if water is excluded?,Misc,,4. China (Canada drops down to fourth if water is excluded)
5. In fashion  what do the initials DKNY stand for?,Misc,,5. Donna Karan New York
6. Occurring twice yearly  what name is given to a day consisting of twelve hours of daylight and twelve hours of darkness?,Misc,,6. Equinox
7. How many X chromosomes do women have?,Misc,,7. Two
8. Which city is the largest port in Germany?,Misc,,8. Hamburg
9. Which country is the natural habitat of the emu?,Misc,,9. Australia
10. Where in the world does the Up Helly Aa Fire Festival take place  which culminates in the burning of a Viking long ship?,Misc,,10. Lerwick  Shetland  Scotland
1. Which American film and television actress is best known for her role as Jennifer Hart in the 1980s television series Hart to Hart?,Misc,,1. Stefanie Powers
2. In 1872 which country played England in the first ever international game of football?,Misc,,2. Scotland
3. Who married comedian Les Dennis in 1995?,Misc,,3. Amanda Holden
4. Claire Richards was the lead singer in which dance-pop group?,Misc,,4. Steps
5. Who became First Minister of Scotland after Alex Salmond's resignation?,Misc,,5. Nicola Sturgeon
6. Which Irish novelist was personal assistant of actor Henry Irving and business manager of the Lyceum Theatre in London?,Misc,,6. Bram Stoker
7. Which singer starred in the televison documentary From Riches to Rags?,Misc,,7. Lily Allen (now Cooper)
"8. Who said: ""The history of the world is but the biography of great men.""?",Misc,,8. Thomas Carlyle
9. How many hurdles are there in a 400 metres hurdles race?,Misc,,9. Ten
10. In 1811 nearly a quarter of all the women in Britain were called what name?,Misc,,10. Mary
1. What is the name of Peppa Pig's little brother?,TV,,1. George
2. Who plays the character Mick Carter in the BBC soap EastEnders?,TV,,2. Danny Dyer
3. Jon Snow is a fictional character in which television series?,TV,,3. Game of Thrones
4. Which former bare-knuckle boxer won Celebrity Big Brother 8?,TV,,4. Paddy Doherty
5. The medical practice in Coronation Street is situated on the junction between Coronation Street and which other street?,TV,,5. Rosamund Street
6. Who were the first couple shown in bed together on prime time American television?,TV,,6. Fred and Wilma Flintstone
7. Which televison series won its first ever National Television Award in 2008 when Matt Littler received the award for 'Most Outstanding Serial Drama Performance' for his portrayal of Max Cunningham?,TV,,7. Hollyoaks
8. In The Big Bang Theory what is Sheldon Coopers middle name?,TV,,8. Lee
9. Which celebrity chef made a cameo appearance on the 5000th episode of Emmerdale?,TV,,9. Antony Worrall-Thompson
10. Which British television series features Detective Sergeant John Bacchus and WPC Rachel Coles?,TV,,10. Inspector George Gently
1. Who became the new Doctor Who after Matt Smith's exit in the 2013 Christmas special?,TV,,1. Peter Capaldi
2. Which American sitcom features a petty criminal that makes a list of every bad thing and every person he has wronged then begins efforts to fix them all?,TV,,2. My Name is Earl
3. What is the name of the fictional amateur detective played by Angela Lansbury in Murder She Wrote?,TV,,3. Jessica Fletcher
4. Which topical celebrity panel game show's theme music is News of the World by The Jam?,TV,,4. Mock of the Week
5. Who played Buffy the Vampire Slayer?,TV,,5. Sarah Michelle Gellar
6. First broadcast in 1953 name the world's longest-running current affairs television programme?,TV,,6. Panorama
7. What was the name of the ranch in the sixties series Bonanza?,TV,,7. The Ponderosa
8. Which eighties television soap opera featured the wealthy Channing family in the Californian wine industry?,TV,,8. Falcon Crest
9. Which fictional Coronation Street character joined in 1974 has married four times and had three children?,TV,,9. Gail (McIntyre)
10. Which The Real Housewives of Beverly Hills spin-off program focuses on a West Hollywood restaurant?,TV,,10. Vanderpump Rules
1. Which fictional character is portrayed by English comedian Leigh Francis?,TV,,1. Keith Lemon
2. Which American multiple Emmy-winning hospital drama stars Hugh Laurie?,TV,,2. House
3. Who first came to notice in a TV commercial for Kellogg's Fruit 'n Fibre breakfast cereal before playing Graham Lodsworth in Emmerdale Farm?,TV,,3. Ross Kemp
4. Which television series is set in Lima Ohio?,TV,,4. Glee
5. 'Did I Make the Most of Loving You?' is the theme song of which television series?,TV,,5. Downton Abbey
6. Who presents the Channel 4 program Time Team?,TV,,6. Tony Robinson
7. Which actress plays Buffy Summers in the television version of 'Buffy the Vampire Slayer'?,TV,,7. Sarah Michelle Gellar
8. Craig Phillips was the first winner of which television series?,TV,,8. Big Brother
9. Which American television personality divorced lawyer Robert Kardashian in 1991?,TV,,9. Kris Jenner
10. Which British sitcom is set in the London offices of the fictional Reynholm Industries and revolves around three staff members?,TV,,10. The IT Crowd
1. Which reality television show features Patti Stanger?,TV,,1. The Millionaire Matchmaker
2. Thornhill Community Academy is featured in which Channel 4 TV program?,TV,,2. Educating Yorkshire
3. What is the name of Simon Cowell's baby boy?,TV,,3. Eric
4. Peaky Blinders is a 1919 saga set in which UK city?,TV,,4. Birmingham
5. In Gavin and Stacey what is Gavin's surname?,TV,,5. Shipman
6. Which science-themed sitcom features Sheldon Cooper?,TV,,6. The Big Bang Theory
7. Which actor took over the role of minder from Dennis Waterman?,TV,,7. Gary Webster
8. Nicholas Lyndhurst plays Ria and Ben's son in which sitcom?,TV,,8. Butterflies
9. Lovers Alan and Celia’s late-blooming courtship was entitled 'Last Tango' in which British city?,TV,,9. Halifax
10. What character did Caroline Quentin play in Men Behaving Badly?,TV,,10. Dorothy
1. What soft brown combustible sedimentary rock that is formed from naturally compressed peat is often referred to as brown coal?,Science,,1. Lignite
2. What is the largest living species of lizard?,Science,,2. Komodo dragon
3. Which popular pet belongs to the biological family felidae?,Science,,3. Cats
4. How many hearts does an octopus have?,Science,,4. Three
5. Most of Russia’s gas exports to Europe are sent by pipeline through which country?,Science,,5. Ukraine
6. What is a semiconductor device used to amplify and switch electronic signals and electrical power?,Science,,6. Transistor
7. Which planet in the solar system is the hotest?,Science,,7. Venus
8. Pulmonary refers to which part of the human body?,Science,,8. Lungs
9. Which law states 'for every action there is an equal and opposite reaction'? (give a name and number),Science,,9. Newton's Third Law
10. Which country accounts for 70% of the world's platinum production?,Science,,10. South Africa
1. Whose law states that the force needed to extend a spring by some distance is proportional to that distance?,Science,,1. Hooke's law
2. What word in geology is formed from the Greek for 'mountain' and 'origin'?,Science,,2. Orogeny
3. What has the chemical formula H2O2?,Science,,3. Hydrogen Peroxide
4. Who was the decibel named after?,Science,,4. Alexander Graham Bell
5. What is the only rock that floats in water?,Science,,5. Pumice
6. What word in mathematics is Latin for pebble?,Science,,6. Calculus
7. What type of number has a real and imaginary part?,Science,,7. Complex number
8. What elementary particle can be up down strange charm bottom and top?,Science,,8. A quark
9. What is the chemical symbol for tungsten?,Science,,9. W
10. What is a highly magnetized rotating neutron star that emits a beam of electromagnetic radiation?,Science,,10. A pulsar
1. Which element has the chemical symbol Pb?,Science,,1. Lead
2. What is the S.I. unit for electrical resistance?,Science,,2. Ohm
3. How many laws of thermodynamics are there?,Science,,3. Three
4. What is the reciprocal of 2?,Science,,4. Half
5. What nationaliy was Galileo Galilei?,Science,,5. Italian
6. Who discovered sodium in 1807 and strontium in 1808?,Science,,6. Humphry Davy
7. Which scientist and mathematician would you associate with Syracuse?,Science,,7. Archimedes
8. What figure is a parallelogram with four equal sides and no right angles?,Science,,8. Rhombus
9. What animal gets its name from the Portuguese word for ostrich?,Science,,9. Emu
10. What number comes next in the Fibonacci series: 1. 1. 2. 3. 5?,Science,,Eight
1. Scientist Marie Curie was born in which country?,Science,,1. Poland
2. Which science branch covers animals and animal life?,Science,,2. Zoology
3. Sir Isaac Newton was born in which English county?,Science,,3. Lincolnshire
4. Roommates Leonard Hofstadter and Sheldon Cooper  both physicists star in which American sitcom?,Science,,4. The Big Bang Theory
5. Which famous scientist introduced the idea of natural selection?,Science,,5. Charles Darwin
6. What planet in the Solar System is closest in size to Earth?,Science,,6. Venus
7. At what temperature is Centigrade equal to Fahrenheit?,Science,,7. -40 degrees
8. Pure water has a pH level of a around what number?,Science,,8. 7
9. Kelvin is a unit to measure what?,Science,,9. Temperature
10. Triton is the largest moon of what planet?,Science,,10. Neptune
1. Which scientific word when translated means 'anything that can produce disease'?,Science,,1. Pathogen
2. Which scientist is said to have shouted out 'Eureka!'?,Science,,2. Archimedes
3. What science fiction writer wrote the three laws of robotics?,Science,,3. Isaac Asimov
4. What is the chemical symbol for gold?,Science,,4. Au
5. Which chemical element has the symbol 'V'?,Science,,5. Vanadium
6. Deimos and Phobos are moons of what planet?,Science,,6. Mars
7. What is the second most common gas found in the air we breathe?,Science,,7. Oxygen
8. Electric power is typically measured in what units?,Science,,8. Watts
9. What is the human body’s biggest organ?,Science,,9. The skin
10. Who was the third person to walk on the moon?,Science,,10. Pete Conrad
1. Which field of science is related with the study of 'Nephrology'?,Science,,1. Kidneys
2. Which black and white bird of the crow family has the scientific name Pica pica?,Science,,2. Magpie
3. What is the name of the second biggest planet in our solar system?,Science,,3. Saturn
4. What facet of human anatomy did William Harvey discover?,Science,,4. Circulation
5. Atoms of the same chemical element that have different atomic mass are known as what?,Science,,5. Isotopes
6. If igneous and sedimentary are two of the three main rock types what is the third?,Science,,6. Metamorphic
7. What is the more common name for the patella?,Science,,7. Kneecap
8. Of what is a Positron an antiparticle?,Science,,8. Electron
9. Electric resistance is typically measured in what units?,Science,,9. Ohms
10. 'For every action there is an equal and opposite reaction' is which number of Newton's Laws?,Science,,10. Third
1. Which science comprises of the study of the solid Earth and the rocks of which it is composed?,Science,,1. Geology
2. Which scientist discovered the neutron?,Science,,2. James Chadwick
3. Which supermodel impressed Brian Cox with her knowledge of quantum physics at a showbiz soiree?,Science,,3. Kate Moss
4. What gas is commonly used to fill floating Birthday balloons?,Science,,4. Helium
5. What do we call a straight line which touches a curve but continues without crossing it?,Science,,5. A tangent
6. The deficiency of which vitamin is associated with the disease Rickets?,Science,,6. Vitamin D
7. Which chemical element is represented by the symbol 'W'?,Science,,7. Tungsten
8. Who won the 1921 Nobel Physics Prize for his work on the photolectric cell?,Science,,8. Albert Einstein
9. How many years does a quinquennium last?,Science,,9. 5
10. What biblical measurement was approximately 18 inches?,Science,,10. A cubit
1. What energy powers the world's four largest power plants: nuclear water gas or coal?,Science,,1. Water
2. Persons with which blood group are called universal donors?,Science,,2. Group O
3. What is nitrous oxide commonly called?,Science,,3. Laughing Gas
4. Which university town houses the Cavendish Laboratory?,Science,,4. Cambridge
5. What is measured by a Geiger-Muller counter?,Science,,5. Radioactivity
6. Who in 1660 discovered the law of elasticity?,Science,,6. Robert Hooke
7. Which food is to blame for most cases of salmonella?,Science,,7. Chicken
8. What do we call a straight line which touches a curve but continues without crossing it?,Science,,8. A tangent
9. What gas is used as a disinfectant in drinking water?,Science,,9. Chlorine
10. Dmitri Mendeleev in 1869 published and devised the first what?,Science,,10. Periodic Table
1. On which racecourse is the St Leger horse race run?,Sports,,1. Doncaster
2. Who competed in the 2008 Paralympics in Beijing winning two swimming gold medals for Great Britain despite being only 13?,Sports,,2. Ellie Simmonds
3. The American basketball team 'The Bulls' represent which city?,Sports,,3. Chicago
4. Which major did golfer Rory McIlroy win at the age of 22 in 2011?,Sports,,4. U.S. Open
5. What number lies between 5 and 9 on a British dart board?,Sports,,5. 12
6. Name the England rugby league forward that joined Bath rugby union club in 2014?,Sports,,6. Sam Burgess
7. Britain's Desmond Douglas was world number seven in which sport during the 1980s?,Sports,,7. Table tennis
8. How many players including the goaltender make up an ice hockey team?,Sports,,8. Six
9. The test cricket ground Sabina Park is in which country?,Sports,,9. Jamaica
10. Name the European club David Beckham ended his career with?,Sports,,10. Paris Saint-Germain
1. In golf over how many holes is The Open Championship contested?,Sports,,1. 72 (4 rounds of 18)
2. In cricket how many matches generally make up an Ashes Test series?,Sports,,2. Five
3. Which 100/1 outsider won the 2009 Grand National?,Sports,,3. Mon Mome
4. The San Siro Stadium is in which Italian city?,Sports,,4. Milan
5. The Eclipse Stakes is run at which racecourse?,Sports,,5. Sandown
6. In American Football which famous Miami Dolphins quarterback retired in 2000?,Sports,,6. Dan Marino
7. Sixways Stadium is the home ground of which English Premiership rugby union team?,Sports,,7. Worcester Warriors
8. In which athletic event did Bruce Jenner win the gold medal in the 1976 Summer Olympics?,Sports,,8. The Decathlon
9. Who won the men's single at Wimbledon in 1985 at the age of just 17?,Sports,,9. Boris Becker
10. Kareem Abdul-Jabbar played 20 seasons in which sport?,Sports,,10. Basketball
1. Which soul band's hits included 'Emma' 'So You Win Again' and 'Brother Louie'?,Music,,1. Hot Chocolate
2. In which American state was Madonna born?,Music,,2. Michigan
3. Micky Dolenz Michael Nesmith and Davy Jones who's missing?,Music,,3. Peter Tork (all members of the Monkees)
